# Table S4. Marker genes for lineage annotations.											
ABalpaaa/ABarapaa	AB64	Time 200min pharynx	Early lineage	"ceh-27, ceh-32"		0	0				
ABalpaap/ABaraaap	AB64	Time 200min pharynx	Early lineage	POE		0	0	Trajectory leads to ABalpaapp/ABaraaaap			
ABalpapa/ABarappa	AB64	Time 200min ABpxp	Early lineage	"ceh-27, ceh-5"		0	0				
ABalpapp/ABarapap	AB64	Time 200min pharynx	Early lineage	ceh-36		0	0				
ABalppaa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"unc-39, sptf-1, ceh-32"		0	0				
ABalppap/ABarappp	AB64	Time 250min lineage ABala region	Early lineage	cnd-1		0	0				
ABalpppa/ABpraaaa	AB64	Time 200min hypodermis etc.	Early lineage	"unc-39, alr-1"		0	0				
ABalpppp/ABpraaap	AB64	Time 200min hypodermis etc.	Early lineage	"sptf-1, no alr-1/unc-39"		0	0				
ABaraaaa	AB64	Time 200min pharynx	Early lineage	"mls-2, sem-2"		0	0				
ABaraapx	AB64	Time 200min pharynx	Early lineage	"mls-2, ceh-27"		0	0				
ABarpaaa	AB64	Time 250min hypodermis	Early lineage	"sem-2, ref-2, tbx-2"		0	0				
ABarpaap	AB64	Time 250min AB hypodermis	Early lineage	"nhr-25, lin-26, POE"		0	0				
ABarpapa/ABplaaaa	AB64	Time 200min hypodermis etc.	Early lineage	"mnm-2, lin-32"		0	0				
ABarpapp/ABplaaap	AB64	Time 200min hypodermis etc.	Early lineage	"nhr-25, POE"		0	0	"Positioned about right in t180 UMAP, but embryo time a little late."			
ABarppxa	AB64	Time 250min AB hypodermis	Early lineage	"vab-15, tbx-2"		0	0				
ABarppxp	AB64	Time 250min AB hypodermis	Early lineage	sptf-1		0	0				
ABplpapp	AB64	Time 200min ABpxp	Early lineage	"nhr-67, unc-130, ceh-6"		0	0				
ABprpapp	AB64	Time 200min ABpxp	Early lineage	"nhr-67, unc-130"		0	0				
ABpxaapa	AB64	Time 200min hypodermis etc.	Early lineage	"cnd-1, mnm-2"		0	0				
ABpxaapp	AB64	Time 200min hypodermis etc.	Early lineage	"pax-3, sptf-1"		0	0				
ABpxapaa	AB64	Time 200min hypodermis etc.	Early lineage	"lin-32, ztf-11"		0	0				
ABpxapap	AB64	Time 200min hypodermis etc.	Early lineage	"sptf-1, nob-1, nhr-25"		0	0				
ABpxappa	AB64	Time 200min hypodermis etc.	Early lineage	"lin-39, ceh-13"		0	0				
ABpxappp	AB64	Time 200min hypodermis etc.	Early lineage	"ztf-11, nob-1"		0	0				
ABpxpaaa	AB64	Time 200min ABpxp	Early lineage	mls-2		0	0				
ABpxpaap	AB64	Time 200min ABpxp	Early lineage	pax-3		0	0				
ABpxpapa	AB64	Time 200min ABpxp	Early lineage	ztf-11		0	0				
ABpxppaa	AB64	Time 200min ABpxp	Early lineage	ceh-27		0	0				
ABpxppap	AB64	Time 200min ABpxp	Early lineage	"ceh-13, cnd-1"		0	0				
ABpxpppa	AB64	Time 200min ABpxp	Early lineage	irx-1		0	0				
ABpxpppp	AB64	Time 200min ABpxp	Early lineage	"nhr-67, vab-23"		0	0				
ABalaaaal	AB128	Time 250min lineage ABala region	Early lineage	"nhr-67, no ceh-27"		0	0	Symmetric with but distinct trajectory from ABalaapaa.			
ABalaaaar	AB128	Time 250min lineage ABala region	Early lineage	"ceh-27, nhr-67"		0	0				
ABalaaapx	AB128	Time 250min lineage ABala region	Early lineage	"ref-2, no ceh-27 or nhr-67"		0	0	Symmetric sisters.			
ABalaapaa	AB128	Time 250min lineage ABala region	Early lineage	"nhr-67, ref-2"		0	0	Symmetric with but distinct from ABalaaaal.			
ABalaapap/ABalppaap	AB128	Time 250min lineage ABala region	Early lineage	"sptf-1, mls-2"		0	0				
ABalaappa/ABalppaaa	AB128	Time 250min lineage ABala region	Early lineage	"sptf-1, tbx-7, tbx-2, ref-2, nhr-67"		0	0				
ABalaappp/ABalapaap	AB128	Time 250min lineage ABala region	Early lineage	"ztf-11, unc-39, lin-32, ceh-32"		0	0	These converging lineages may be separable.			
ABalapaaa	AB128	Time 250min lineage ABala region	Early lineage	"unc-39, lin-32, ceh-31, sem-2"		0	0				
ABalapaaa/ABalappap	AB128	Time 200min lineage ABax neuron + glia	Early lineage	unc-39		0	1	"Extra cells not included in ""ABalapaaa"" and ""ABalappap"", which are annotated separately. The UMAP trajectories for these lineages converge, the split to produce ABalapaaap/ABalappapp and ABalapaaaa/ABalappapa. This annotation includes cells after the lineage convergence, but before the subsequent cell division."			
ABalapapa	AB128	Time 200min lineage ABax neuron + glia	Early lineage	lin-32		0	0				
ABalappaa	AB128	Time 250min lineage ABala region	Early lineage	"ref-2, ceh-32"		0	0				
ABalappap	AB128	Time 250min lineage ABala region	Early lineage	unc-39		0	0				
ABalapppa	AB128	Time 200min lineage ABax neuron + glia	Early lineage	ngn-1		0	0				
ABalapxpa	AB128	Time 250min lineage ABala region	Early lineage	"F21D5.9, ceh-10"		0	1				
ABalapxpp	AB128	Time 250min lineage ABala region	Early lineage	"mls-2, ref-2"		0	0				
ABalpaaaa/ABarapaaa	AB128	Time 300min AB pharynx	Early lineage	"ceh-27, ceh-34, ceh-32"		0	0				
ABalpaaap/ABarapaap	AB128	Time 300min AB pharynx	Early lineage	ceh-36		0	0				
ABalpaapa/ABaraaapa	AB128	Time 300min AB pharynx	Early lineage	"ceh-36, ceh-16"		0	0				
ABalpaapp/ABaraaapp	AB128	Time 300min AB pharynx	Early lineage	"ham-2, sox-2, nhr-25"		0	0				
ABalpapaa/ABarappaa	AB128	Time 250min Lineage	Early lineage	hlh-3		0	0	ABalp and ABara derived symmetry partners appear to form separate trajectories but not clear which is which based on known markers.			
ABalpapap/ABarappap	AB128	Time 250min Lineage	Early lineage	ceh-36		0	0	ABalp and ABara derived symmetry partners appear to form separate trajectories but not clear which is which based on known markers.			
ABalpappa/ABarapapa	AB128	Time 200min pharynx	Early lineage	"ceh-32, lin-12"		0	0				
ABalpappp/ABarapapp	AB128	Time 200min pharynx	Early lineage	POE		0	0				
ABalppapa/ABarapppa	AB128	Time 250min lineage ABala region	Early lineage	"ceh-32, ref-2"		0	0				
ABalppapp/ABarapppp	AB128	Time 250min lineage ABala region	Early lineage	ceh-27		0	0				
ABalpppaa/ABpraaaaa	AB128	Time 250min Lineage	Early lineage	"sptf-1, ref-2, sox-2"		0	0				
ABalpppap/ABpraaaap	AB128	Time 250min Lineage	Early lineage	"unc-39, no sptf-1"		0	0				
ABalppppa/ABpraaapa	AB128	Time 250min Lineage	Early lineage	"ceh-37, hlh-3, no nhr-67"		0	0				
ABalppppp/ABpraaapp	AB128	Time 250min Lineage	Early lineage	"nhr-67, tbx-2, ceh-37, hlh-3 persists"		0	0				
ABaraaaaa	AB128	Time 300min AB pharynx	Early lineage	"ceh-34, ref-2"		0	0				
ABaraaaap	AB128	Time 300min AB pharynx	Early lineage	POE		0	0				
ABaraapxa	AB128	Time 300min AB pharynx	Early lineage	"ceh-34, ngn-1, ceh-16"		0	0				
ABaraapxp	AB128	Time 300min AB pharynx	Early lineage	"tbx-2, ref-2, ceh-36"		0	0				
ABarpaaaa	AB128	Time 250min hypodermis	Early lineage	"later mls-2, ref-2, ceh-31, ceh-32"		0	0				
ABarpaaap	AB128	Time 250min hypodermis	Early lineage	"mls-2, ref-2, ceh-31, ceh-32"		0	0				
ABarpaapx	AB128	Time 300min AB hypodermis	Early lineage	"elt-1, nhr-25, tbx-8"		0	0				
ABarpapaa/ABplaaaaa	AB128	Time 250min hypodermis	Early lineage	"mnm-2, ceh-31, lin-32"		0	0				
ABarpapap/ABplaaaap	AB128	Time 250min hypodermis	Early lineage	"elt-1, nhr-25, ref-1"		0	0				
ABarpappa/ABplaaapa	AB128	Time 250min hypodermis	Early lineage	"sptf-1, unc-130, trajectory to hyp5"		0	0				
ABarpappp/ABplaaapp	AB128	Time 250min hypodermis	Early lineage	"elt-1, ceh-16, unc-130"		0	0				
ABarppxaa	AB128	Time 300min AB hypodermis	Early lineage	"sptf-1, ceh-16, tbx-2"		0	0				
ABarppxap	AB128	Time 300min AB hypodermis	Early lineage	"tbx-8, ceh-13"		0	0				
ABarppxpa	AB128	Time 300min AB hypodermis	Early lineage	"ceh-16, ceh-13, no pal-1"		0	0				
ABarppxpp	AB128	Time 300min AB hypodermis	Early lineage	"ham-2, pal-1, ceh-16, ceh-13"		0	0				
ABplpappa	AB128	Time 250min Lineage	Early lineage	"ceh-6, pros-1"		0	0				
ABplpappp	AB128	Time 250min Lineage	Early lineage	"ceh-6, pal-1, pha-4"		0	0				
ABprpappa	AB128	Time 250min Lineage	Early lineage	"ces-1, hlh-19"		0	0				
ABprpappp	AB128	Time 250min Lineage	Early lineage	"pax-3, pha-4"		0	0				
ABpxaapaa	AB128	Time 250min Lineage	Early lineage	"ref-2, alr-1"		0	0				
ABpxaapap	AB128	Time 250min Lineage	Early lineage	"unc-30, ztf-11"		0	0				
ABpxaappa	AB128	Time 250min hypodermis	Early lineage	"mnm-2, elt-1"		0	0				
ABpxaappp	AB128	Time 250min hypodermis	Early lineage	"vab-3, tbx-11, elt-1"		0	0				
ABpxapaaa	AB128	Time 250min hypodermis	Early lineage	"lin-32, ceh-31, sem-2, dpy-31"		0	0				
ABpxapaap	AB128	Time 250min hypodermis	Early lineage	"sptf-1, nhr-25, elt-1"		0	0				
ABpxapapa	AB128	Time 300min AB hypodermis	Early lineage	"sptf-1, elt-1"		0	0				
ABpxapapp	AB128	Time 300min AB hypodermis	Early lineage	"sptf-1, unc-130, nob-1"		0	0				
ABpxappaa	AB128	Time 300min AB hypodermis	Early lineage	"lin-39, more ceh-13"		0	0				
ABpxappap	AB128	Time 300min AB hypodermis	Early lineage	"pal-1, less ceh-13"		0	0				
ABpxapppa	AB128	Time 300min AB hypodermis	Early lineage	"nob-1, hlh-14"		0	0				
ABpxapppp	AB128	Time 250min hypodermis	Early lineage	"nob-1, elt-1, nhr-25"		0	0				
ABpxpaaaa	AB128	Time 250min Lineage	Early lineage	"hlh-16, ngn-1, ceh-37"		0	0				
ABpxpaaap	AB128	Time 250min Lineage	Early lineage	"cnd-1, ceh-32"		0	0				
ABpxpaapa	AB128	Time 250min Lineage	Early lineage	"ref-2, mnm-2, hlh-16"		0	0				
ABpxpaapp	AB128	Time 250min Lineage	Early lineage	irx-1		0	0				
ABpxpapaa	AB128	Time 250min Lineage	Early lineage	"ref-2, hlh-16, ngn-1"		0	0				
ABpxpapap	AB128	Time 250min Lineage	Early lineage	"ceh-27, ceh-36 persists, hlh-3 later"		0	0				
ABpxppaaa	AB128	Time 250min Lineage	Early lineage	"ceh-27, F21D5.9, ngn-1 persists"		0	0				
ABpxppaap	AB128	Time 250min Lineage	Early lineage	"ceh-27, ceh-36 persists"		0	0				
ABpxppapa	AB128	Time 250min Lineage	Early lineage	sox-2		0	0				
ABpxppapp	AB128	Time 250min Lineage	Early lineage	"ceh-13, cnd-1 persists"		0	0				
ABpxpppaa	AB128	Time 250min Lineage	Early lineage	"nob-1, F21D5.9, sox-2, irx-1"		0	0				
ABpxpppap	AB128	Time 250min Lineage	Early lineage	"pal-1, nhr-25, irx-1"		0	0				
ABpxppppa	AB128	Time 250min Lineage	Early lineage	"sox-2, vab-23"		0	0				
ABpxppppp	AB128	Time 250min Lineage	Early lineage	"pal-1, ham-2, vab-23"		0	0				
ABalaaaala/ABalaapaaa	AB256	Time 300min neuron + glia left region	Early lineage	ttx-3	x/AIN	0	0				
ABalaaaalp/ABalaapaap	AB256	Time 300min neuron + glia left region	Early lineage	"pros-1, nhr-25, no ceh-32"	x/ILsh	0	0				
ABalaaaarx	AB256	Time 300min neuron + glia left region	Early lineage	"ceh-27, ceh-32"	x/RME	0	0				
ABalaaapal/ABalaaappr	AB256	Time 300min neuron + glia left region	Early lineage	"ham-2, ngn-1"	ILso/AVD	0	0				
ABalaaapar/ABalaaappl	AB256	Time 300min neuron + glia left region	Early lineage	"pros-1, nhr-25, ceh-32"	x/ILshD	0	0				
ABalaapapa/ABalppaapa	AB256	NA	NA	NA	x	1	0	Not identified (cell death).			
ABalaapapp/ABalppaapp	AB256	Time 300min neuron + glia left region	Early lineage	"mls-2, sptf-1, nhr-25, egl-1"	x/CEPsoV	0	0				
ABalaappaa/ABalppaaaa	AB256	NA	NA	NA	x	1	0	Not identified (cell death).			
ABalaappap/ABalppaaap	AB256	Time 300min neuron + glia left region	Early lineage	"ref-2, tbx-7, sptf-1"	AVA/OLQsoV	0	0				
ABalaapppa/ABalapaapa	AB256	Time 300min neuron + glia left region	Early lineage	"sptf-1, ces-1, ceh-8"	RIA/x	0	0				
ABalaapppp/ABalapaapp	AB256	Time 300min neuron + glia left region	Early lineage	"sptf-1, lin-32, unc-39"	"IL1/x, IL2"	0	0	"Annotation includes early cells only. Late cells converge to a common transcriptomic profile with other IL1-IL2 neuroblast and are annotated as ""ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp""."			
ABalapaaaa/ABalappapa	AB256	Time 300min neuron + glia left region	Early lineage	"ngn-1, ceh-6, aha-1"	AVH/x	0	0				
ABalapaaap/ABalappapp	AB256	Time 300min neuron + glia left region	Early lineage	ham-2	CAN/OLLso	0	0				
ABalapapaa	AB256	NA	NA	NA	x	1	0	Not identified (cell death).			
ABalappaap	AB256	Non-ciliated neurons	Cell type	See note	RID/x	0	0	Forms a continuous UMAP trajectory with terminal RID (see Table S1). Distinguished from daughter by embryo time.			
ABalapppaa	AB256	Time 300min neuron + glia left region	Early lineage	"ces-1, ngn-1"	ALA/RMED	0	0				
ABalapxpap	AB256	Time 300min neuron + glia left region	Early lineage	"hlh-3, ceh-32, lin-32"	"OLQD/x, URYD"	0	0	"Annotation includes early ABalapxpap cells only. Later ABalapxpap cells converge with ABpxpaaapp to a common transcriptomic profile and are annotated as ""ABalapxpap/ABpxpaaapp""."			
ABalapxpap/ABpxpaaapp	AB256	Ciliated neurons	Cell type	See note.	"OLQ/x, URY"	0	1	"Annotation includes late ABalapxpap and ABpxpaaapp cells after they converge to a common transcriptomic profile. Early cells are annotated separately in the ""ABalapxpap"" and ""ABpxpaaapp"" annotations."			
ABalapxppa	AB256	Time 300min neuron + glia left region	Early lineage	"mls-2, ref-2, lin-32, no sptf-1"	"IL1D/x, IL2D"	0	0	"Annotation includes early cells only. Late cells converge to a common transcriptomic profile with other IL1-IL2 neuroblast and are annotated as ""ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp""."			
ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp	AB256	Ciliated neurons	Cell type	See note.	"IL1/x, IL2"	0	1	Annotation includes late cells from the listed IL1-IL2 neuroblast lineages after they converge to a common transcriptomic profile. Early cells from the listed lineages are annotated separately.			
ABalapxppp	AB256	Time 300min neuron + glia left region	Early lineage	"mls-2, ref-2, ngn-1"	AVJ/CEPsoD	0	0				
ABalpaaaaa/ABarapaaaa	AB256	Time 300min AB pharynx	Early lineage	"ceh-32, ceh-27"	e3V/m2V	0	0				
ABalpaaaap/ABarapaaap	AB256	Time 300min AB pharynx	Early lineage	"eyg-1, ceh-27, ceh-34"	m1V/x	0	0				
ABalpaaapa/ABarapaapa	AB256	Time 300min AB pharynx	Early lineage	ceh-34	m2/x	0	0				
ABalpaaapp/ABarapaapp	AB256	Time 300min AB pharynx	Early lineage	ceh-36 persists	(x or m3R)/MC	0	0				
ABalpaapaa/ABaraaapaa	AB256	Time 300min AB pharynx	Early lineage	"POE, ceh-16 persists"	arc_post_D/e2D	0	0				
ABalpaapap/ABaraaapap	AB256	Time 300min AB pharynx	Early lineage	tbx-2	mc1D/(m3 or m4)	0	0				
ABalpaappa/ABaraaappa	AB256	Time 300min AB pharynx	Early lineage	"pha-4, sox-2, ham-2"	(arc_ant_D or arc_post_D)/arc_post_V	0	0				
ABalpaappp	AB256	Time 300min AB pharynx	Early lineage	"ceh-27, ham-2"	hyp1D/hyp2D 	0	0				
ABalpapaaa	AB256	Time 300min neuron + glia right region	Early lineage	"hlh-19, ces-1"	RIP/hyp2V	0	0				
ABalpapaap/ABarappaap	AB256	Time 300min neuron + glia right region	Early lineage	"pha-4, nhr-25, ham-2"	(arc ant V or hyp1 V)/x	0	0				
ABalpapapa/ABarappapa	AB256	Time 300min neuron + glia right region	Early lineage	cnd-1	RMDD/(x/SMBD)	0	0				
ABalpapapp/ABarappapp	AB256	Time 300min neuron + glia right region	Early lineage	"ceh-6, eyg-1"	(x or DB2)/SMBV	0	0				
ABalpappaa/ABarapapaa	AB256	Time 300min AB pharynx	Early lineage	"pros-1, atf-2, hlh-3, ceh-34"	x/(I2/x)	0	0				
ABalpappap	AB256	Time 300min AB pharynx	Early lineage	unc-130	e2V/mc3V	0	0				
ABalpapppa/ABarapappa	AB256	Time 300min AB pharynx	Early lineage	"unc-86, ceh-32, ceh-36, ces-1, ceh-34"	I1/x	0	0				
ABalpapppp/ABarapappp	AB256	Time 300min AB pharynx	Early lineage	"ceh-36, tbx-2"	(mc1V or mc2V)/m3V	0	0				
ABalppapaa/ABarapppaa	AB256	Time 300min neuron + glia left region	Early lineage	"ceh-32, ref-2"	RMDV/ILshV	0	0				
ABalppapap/ABarapppap	AB256	Time 300min neuron + glia left region	Early lineage	"ham-2, ceh-27, unc-130, hlh-3"	SIAD/ILsoV	0	0				
ABalppappa/ABarappppa	AB256	Time 300min neuron + glia left region	Early lineage	"sptf-1, ces-1"	SMDV/BAG	0	0				
ABalppappp/ABarappppp	AB256	Time 300min neuron + glia left region	Early lineage	"sptf-1, lin-32, hlh-3"	"IL1V/x, IL2V"	0	0	"Annotation includes early cells only. Late cells converge to a common transcriptomic profile with other IL1-IL2 neuroblast and are annotated as ""ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp""."			
ABalpppaaa/ABpraaaaaa	AB256	Time 300min neuron + glia left region	Early lineage	"ceh-31, F21D5.9"	AVE/OLQshV	0	0				
ABalpppaap/ABpraaaaap	AB256	Time 300min neuron + glia left region	Early lineage	"nhr-25, ceh-32"	OLLsh/x	0	0				
ABalpppapa/ABpraaaapa	AB256	Time 300min neuron + glia left region	Early lineage	"ttx-1 (literature - AFD), mls-2, sptf-1"	RMD/AFD	0	0				
ABalpppapp/ABpraaaapp	AB256	Time 300min neuron + glia left region	Early lineage	ttx-3	x/(ASK/x)	0	0				
ABalppppaa/ABpraaapaa	AB256	Time 300min neuron + glia left region	Early lineage	"hlh-4, lin-11"	ADL/x	0	0				
ABalppppap/ABpraaapap	AB256	Time 300min neuron + glia left region	Early lineage	ceh-32 persists	(OLL/x)/x	0	0				
ABalpppppa/ABpraaappa	AB256	Time 300min neuron + glia left region	Early lineage	ces-1	ADF/AWB	0	0				
ABalpppppp/ABpraaappp	AB256	Time 300min neuron + glia left region	Early lineage	"irx-1, nhr-67, sptf-1"	"ASE/x, ASJ/AUA"	0	0				
ABaraaaaax	AB256	Time 300min AB pharynx	Early lineage	ceh-34	e1V/m1	0	0				
ABaraaaapa	AB256	Time 300min AB pharynx	Early lineage	ceh-34 later	x/e1D	0	0				
ABaraaaapp	AB256	NA	NA	NA	x	1	0	Not identified (cell death).			
ABaraaappp	AB256	Time 300min AB pharynx	Early lineage	"ceh-27, ham-2, nhr-25"	arc_ant_D/hyp1D	0	0				
ABaraapaaa	AB256	Time 300min AB pharynx	Early lineage	eyg-1 persists	e3D/m1D	0	0				
ABaraappaa	AB256	Time 300min AB pharynx	Early lineage	"ngn-1, aha-1"	MI/m1D	0	0				
ABaraapxap	AB256	Time 300min AB pharynx	Early lineage	"eyg-1 persists, tbx-2, ceh-36"	m2D/mc2D	0	0				
ABaraapxpa	AB256	Time 300min AB pharynx	Early lineage	"unc-86, pha-2, tbx-2"	(NSM/x)/m5	0	0				
ABaraapxpp	AB256	Time 300min AB pharynx	Early lineage	"mnm-2 (literature), tbx-2, ref-2"	M2/M3	0	0				
ABarapapap	AB256	Time 300min AB pharynx	Early lineage	POE	arc post V/I5	0	0				
ABarappaaa	AB256	Time 300min neuron + glia right region	Early lineage	"hlh-19, ces-1, hlh-3"	RIP/x	0	0				
ABarpaaaaa	AB256	Time 300min neuron + glia left region	Early lineage	ham-2	OLQsoD/OLQsoD	0	0				
ABarpaaaap/ABarpaaapa	AB256	Time 300min neuron + glia left region	Early lineage	pros-1	OLQshD/CEPshD	0	0				
ABarpaapaa	AB256	Time 350min hypodermis	Early lineage	trajectory to hyp6	hyp6	1	0	"Includes late cells only, after hyp6 diverges from hyp7. Earlier cells are annotated as ""ABarpaapxx""."			
ABarpaapap/ABarpaappx	AB256	Time 350min hypodermis	Early lineage	trajectory to hyp7	3x hyp7	1	0	"Includes late cells only, after hyp6 diverges from hyp7. Earlier cells are annotated as ""ABarpaapxx""."			
ABarpaapxx	AB256	Time 300min AB hypodermis	Early lineage	tbx-8	hyp6 and 3x hyp7	1	1	"Includes early cells only. Later in this lineage's lifespan, hyp6 and hyp7 diverge and are annotated as ""ABarpaapaa"" and ""ABarpaapap/ABarpaappx"" respectively."			
ABarpapaaa/ABplaaaaaa	AB256	Time 300min neuron + glia left region	Early lineage	"ceh-31, sem-2, pros-1"	URAD/x(CEMD)	0	0				
ABarpapaap/ABplaaaaap	AB256	Time 300min neuron + glia left region	Early lineage	lin-32	x/(CEPD/URX)	0	0				
ABarpapapx/ABplaaaapx	AB256	Time 300min AB hypodermis	Early lineage	POE	hyp4 (L) / hyp6 (R); hyp6	1	0				
ABarpappaa/ABplaaapaa	AB256	Glia and excretory cells	Cell type	"eak-3, sdf-9, eak-6"	XXX	1	0	Same annotation as XXX in Table S1.			
ABarpappap/ABplaaapap	AB256	Time 300min AB hypodermis	Early lineage	"unc-130, ceh-32, aff-1"	hyp5	1	0				
ABarpapppx/ABplaaappx	AB256	Time 300min AB hypodermis	Early lineage	unc-130	H0 or H1	1	0				
ABarppxaaa	AB256	Glia and excretory cells	Cell type	"aff-1, unc-62, POE w.r.t. other sheath cells."	ADEsh	1	0	Same annotation as ADEsh in Table S1.			
ABarppxaap	AB256	Time 300min AB hypodermis	Early lineage	"ceh-16, sptf-1, tbx-2, lin-26"	H2	1	0				
ABarppxapa	AB256	Time 300min AB hypodermis	Early lineage	elt-3	hyp7	1	0				
ABarppxapp	AB256	"Time 300min neuron + glia right region, Time 300min AB hypodermis"	Early lineage	"ceh-13, cwn-2, unc-62, unc-86, mec-7"	ALM/BDU	0	0				
ABarppxpax	AB256	Time 300min AB hypodermis	Early lineage	ceh-13	V1 and V2	1	0				
ABarppxppa	AB256	Time 300min AB hypodermis	Early lineage	lin-39	V4	1	0				
ABarppxppp	AB256	Time 300min AB hypodermis	Early lineage	mab-5	V6	1	0				
ABplpappaa	AB256	Time 300min neuron + glia right region	Early lineage	"pros-1, ceh-6, unc-130"	RMEV/exc canal	0	0				
ABplpappap	AB256	NA	Early lineage	NA	x	1	0	Not identified (cell death).			
ABplpapppa	AB256	"Time 300min neuron + glia right region, Rectal cells"	"Early lineage, Cell type"	"nhr-25, pal-1, pha-4"	K/K'	0	0				
ABplpapppp	AB256	Time 300min rectal	Early lineage	"pal-1, unc-6"	PVT/rect_D	0	0				
ABprpappaa	AB256	Time 300min neuron + glia right region	Early lineage	"hlh-19, ces-1"	RIH/AVL	0	0				
ABprpappap	AB256	Time 300min neuron + glia right region	Early lineage	"ceh-6, ceh-36"	RIS/DB4	0	0				
ABprpapppa	AB256	Time 300min neuron + glia right region	Early lineage	"nhr-67, ces-1, no pal-1"	RIR/AVG	0	0				
ABprpapppp	AB256	Time 300min rectal	Early lineage	pha-4	virR/virL	0	0				
ABpxaapaaa	AB256	Time 300min neuron + glia left region	Early lineage	"ceh-32, nhr-25, ham-2, ref-2 (persists)"	hyp3/ILsoD	0	0				
ABpxaapaap	AB256	Time 300min neuron + glia left region	Early lineage	"nhr-67, pros-1"	URB/AMsh	0	0				
ABpxaapapa	AB256	Time 300min neuron + glia left region	Early lineage	"lin-11, hlh-3, ces-1, unc-130, ztf-11"	AWA/ASG	0	0				
ABpxaapapp	AB256	Time 300min neuron + glia left region	Early lineage	"ztf-11, no ces-1 or unc-130 or lin-11"	AIB/(ASI/x)	0	0				
ABpxaappaa	AB256	Time 300min AB hypodermis	Early lineage	ceh-32	hyp4	1	0				
ABpxaappap	AB256	Time 300min AB hypodermis	Early lineage	tbx-11	hyp6	1	0				
ABpxaapppa	AB256	Time 300min AB hypodermis	Early lineage	irx-1	hyp7	1	0				
ABpxaapppp	AB256	Time 300min AB hypodermis	Early lineage	"ceh-13, tbx-2, tbx-11"	hyp7	1	0				
ABpxapaaaa	AB256	"Time 300min neuron + glia left region, Touch receptors"	"Early lineage, Cell type"	"dpy-31(p), daf-19"	x/(ADE/ADA)	0	0				
ABpxapaaap	AB256	"Time 300min neuron + glia left region, Touch receptors"	"Early lineage, Cell type"	"ceh-31, unc-86, hlh-3"	(FLP/AIZ)/RMG	0	0				
ABpxapaapa	AB256	Time 300min AB hypodermis	Early lineage	lin-12	G2 and W	1	0	We count these as terminal cells since they do not divide further before hatching.			
ABpxapaapp	AB256	Time 300min AB hypodermis	Early lineage	"pax-3, ceh-13"	P1 and P2	1	0				
